key,source_file,line_number,byte_offset,source_text,translation_zh,notes
BOSS_Minotaur_1,Tiny Rogues_Data\resources.assets,1,0xA2ECAC,Nothing can stop me!,没有什么可以阻止我！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Minotaur_2,Tiny Rogues_Data\resources.assets,2,0xA2ECDA,ROAAAAR!!!,哇啊！！！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Minotaur_Enrage,Tiny Rogues_Data\resources.assets,3,0xA2ECFE,STAND STILL!\nYOU MAKE ME ANGRY!,站住！\n你让我生气了！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_SpiderQueen_1,Tiny Rogues_Data\resources.assets,4,0xA2ED3D,Time to feast!,盛宴时刻到了！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_SpiderQueen_2,Tiny Rogues_Data\resources.assets,5,0xA2ED68,HSssSssS!,HSssSssS！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_SpiderQueen_Enrage,Tiny Rogues_Data\resources.assets,6,0xA2ED8E,HSsSssS!\nI'm going to feed you\nto my children!,嘶嘶嘶！\n我要把你\n喂给我的孩子们！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Lich_1,Tiny Rogues_Data\resources.assets,7,0xA2EDE0,Who dares to enter my lair?,谁敢进我的巢穴？,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Lich_2,Tiny Rogues_Data\resources.assets,8,0xA2EE11,Ke-ke-ke-ke!,咳咳咳咳！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Lich_Enrage,Tiny Rogues_Data\resources.assets,9,0xA2EE33,I might have underestimated\nyou a little bit!\nGood for you!,我可能有点低估了\n你！\n对你有好处！,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
BOSS_Banshee_1,Tiny Rogues_Data\resources.assets,10,0xA2EE8B,I am so cold and lonely...\nEmbrace me.,我是如此寒冷和孤独......\n拥抱我。,"Explicit source key; preserve tags, placeholders, and newline escapes; machine translated, controls validated"
